status,id,paid,title,subTitle,desc,text,tileUrl,tileUrlExpanded,src_type,src_play,progressBar,extraMeta,reviews,meta,extraReviews,trailer,series,player
1,1,0,Sự phát triển thai nhi trong bụng mẹ,You're watching,Sự phát triển thai nhi trong bụng mẹ,Sự phát triển thai nhi trong bụng mẹ,http://chamsoccongdong.com/userfile/images/2014/7/ba-bau-bi-hoa-khi-thai-nhi-moc-toc.jpg,http://chamsoccongdong.com/userfile/images/2014/7/ba-bau-bi-hoa-khi-thai-nhi-moc-toc.jpg,direct,2PACX-1vRxLkWoyYwm26-IgDBKPsdmd0KnivvnJPc5MRIOEHOLwUMQXWoXYLdFLvh4ycFFM4jE1LNAE_cYQ0HS.1,0,<h5>Series</h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,2PACX-1vS8fR0bxliT5g8JWQQQ6KjASJdPXzjaNwBysEUZP_3IMYb1QrfBikhcY7o0X8Xsn9KkJYkXXV6bMb-J,
1,2,0,11 Động Tác Thể Dục Khi Mang Thai (Phần 01),You're watching,Video được thực hiện bởi Truyền hình Phúc Gia phối hợp cùng các Y tá tại Bệnh viện Vinmec!,Video được thực hiện bởi Truyền hình Phúc Gia phối hợp cùng các Y tá tại Bệnh viện Vinmec!,,hqdefault,youtube,g_nK5vW5Gbk,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,3,0,11 Động Tác Thể Dục Khi Mang Thai (Phần 02),You're watching,Video được thực hiện bởi Truyền hình Phúc Gia phối hợp cùng các Y tá tại Bệnh viện Vinmec!,Video được thực hiện bởi Truyền hình Phúc Gia phối hợp cùng các Y tá tại Bệnh viện Vinmec!,,hqdefault,youtube,iwWZi6tY75E,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,4,0,Giảm Đau Không Dùng Thuốc Khi Chuyển Dạ (Phần 1),You're watching,Video được thực hiện bởi Truyền hình Phúc Gia phối hợp cùng các Y tá tại Bệnh viện Vinmec!,Video được thực hiện bởi Truyền hình Phúc Gia phối hợp cùng các Y tá tại Bệnh viện Vinmec!,,hqdefault,youtube,pJg5pVMkGvw,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,5,0,Giảm Đau Không Dùng Thuốc Khi Chuyển Dạ (Phần 2),You're watching,Video được thực hiện bởi Truyền hình Phúc Gia phối hợp cùng các Y tá tại Bệnh viện Vinmec!,Video được thực hiện bởi Truyền hình Phúc Gia phối hợp cùng các Y tá tại Bệnh viện Vinmec!,,hqdefault,youtube,UdUVbqg38dU,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,6,0,Hướng Dẫn Tư Thế Sinh Đẻ Truyền Thống,You're watching,Video được thực hiện bởi Truyền hình Phúc Gia phối hợp cùng các Y tá tại Bệnh viện Vinmec!,Video được thực hiện bởi Truyền hình Phúc Gia phối hợp cùng các Y tá tại Bệnh viện Vinmec!,,hqdefault,youtube,TyI5acRY1Hs,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,7,0,"Hướng dẫn sử dụng que thử thai đúng cách 1 vạch chưa có thai, 2 vạch đã có thai",You're watching,"Hướng dẫn các mẹ và các bạn sử dụng que thử thai đúng cách, 1 vạch chưa có thai, 2 vạch đã có thai.","Hướng dẫn các mẹ và các bạn sử dụng que thử thai đúng cách, 1 vạch chưa có thai, 2 vạch đã có thai. Trong clip này sử dung que thử thai Chip Chips",,hqdefault,youtube,1TgzAbo3xEE,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,8,0,Hướng dẫn: Chuẩn bị đồ đi sinh mẹ cần mang theo những gì,You're watching,"Các mẹ chuẩn bị đồ đi sinh từ sớm từ khoảng 36 tuần là vừa, lúc này các mẹ có đủ thời gian chuẩn bị những đồ cần thiết cho bé. Nếu trước khi sinh bạn chuẩn bị kỹ thì bạn đã an tâm cho cuộc vượt cạn rồi nhé. Các mẹ xem clip này sẽ thấy rõ gần như toàn bộ những đồ cần thiết khi sinh và đến lúc đó không cần phải hỏi mẹ khi sinh mang theo những gì","Các mẹ chuẩn bị đồ đi sinh từ sớm từ khoảng 36 tuần là vừa, lúc này các mẹ có đủ thời gian chuẩn bị những đồ cần thiết cho bé. Nếu trước khi sinh bạn chuẩn bị kỹ thì bạn đã an tâm cho cuộc vượt cạn rồi nhé. Các mẹ xem clip này sẽ thấy rõ gần như toàn bộ những đồ cần thiết khi sinh và đến lúc đó không cần phải hỏi mẹ khi sinh mang theo những gì",,hqdefault,youtube,UMyXG_6Ma4s,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,9,0,Mẹ bầu khi đi sinh cần chuẩn bị những gì,You're watching,"Cần chuẩn bị gì khi đi sinh là nỗi lo lắng của các mẹ bầu, khi xem clip này các mẹ bầu cần phải chuẩn bị đồ cho em bé và các giấy tờ cần thiết ","Cần chuẩn bị gì khi đi sinh là nỗi lo lắng của các mẹ bầu, khi xem clip này các mẹ bầu cần phải chuẩn bị đồ cho em bé và các giấy tờ cần thiết như sổ khám bệnh, sổ hồng, chứng minh thư, giấy siêu âm thai...Các mẹ hãy chuẩn bị kỹ để đừng bỏ quên những giấy tờ cần thiết",,hqdefault,youtube,HAaiZxy1s6M,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,10,0,Hướng dẫn: sử dụng que thử rụng trứng và cách đọc kết quả,You're watching,"Que thử rụng trứng giúp xác định dấu hiệu rụng trứng và thời gian rụng trứng, có thể giúp bạn chọn đúng thời điểm vàng để thụ thai. Sau đây mời các bạn xem cách sử dụng que thử rụng trứng như thế nào và cách đọc kết quả chính xác","Que thử rụng trứng giúp xác định dấu hiệu rụng trứng và thời gian rụng trứng, có thể giúp bạn chọn đúng thời điểm vàng để thụ thai. Sau đây mời các bạn xem cách sử dụng que thử rụng trứng như thế nào và cách đọc kết quả chính xác",,hqdefault,youtube,8B-3BMLz3W0,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
