status,id,paid,title,subTitle,desc,text,tileUrl,tileUrlExpanded,src_type,src_play,progressBar,extraMeta,reviews,meta,extraReviews,trailer,series,player
1,48,,Xe qua tuyến tránh Cai Lậy hay quốc lộ 1 nhiều hơn?,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/mdf_rsoznr/2017_12_06/25075479_1531635406924512_529939829_o.jpg,,zingnews,801857,,,THỜI SỰ,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: ZingNews</li>
</ul>",,,,
1,47,,Chủ tịch quận 12 trả lời chất vấn vụ bạo hành trẻ em ở Mầm Xanh,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/qnuozb/2017_12_06/Q12_.JPG,,zingnews,801835,,,THỜI SỰ,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: ZingNews</li>
</ul>",,,,
1,46,,Nghĩa địa' tàu chìm: 5 thuyền viên tàu Jupiter vẫn biệt tăm,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/Sotntb/2017_12_06/Anh_2_gui_den.jpg,,zingnews,801833,,,THỜI SỰ,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: ZingNews</li>
</ul>",,,,
1,45,,3 kịch bản cho dự án BOT Cai Lậy,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/mdf_rsoznr/2017_12_05/received_1529029390518447.jpeg,,zingnews,801706,,,THỜI SỰ,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: ZingNews</li>
</ul>",,,,
1,44,,Giám đốc Sở Tài chính Đà Nẵng đề xuất thu phí giữ xe bệnh viện,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/neg_glyrtla/2017_12_05/dai_diwn.jpg,,zingnews,801691,,,THỜI SỰ,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: ZingNews</li>
</ul>",,,,
1,43,,Dân khốn khổ đu mình trên thùng xe ben vượt lũ mưu sinh,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/Sotntb/2017_12_05/Settop_clip.jpg,,zingnews,801615,,,THỜI SỰ,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: ZingNews</li>
</ul>",,,,
1,42,,Nhìn lại 5 ngày khủng hoảng ở BOT Cai Lậy,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/qnuozb/2017_12_05/BOTCaiLay02122017_01_zing.jpg,,zingnews,801554,,,THỜI SỰ,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: ZingNews</li>
</ul>",,,,
1,41,,Giám đốc Sở GTVT nói nguyên nhân đường Sài Gòn mới làm đã xuống cấp,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/zxgorz/2017_12_05/ong_cuong_2.jpg,,zingnews,801546,,,THỜI SỰ,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: ZingNews</li>
</ul>",,,,
1,40,,Bí thư Đà Nẵng nói về quy hoạch Sơn Trà,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/neg_glyrtla/2017_12_05/165_Anh_1_gui_zing.jpg,,zingnews,801538,,,THỜI SỰ,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: ZingNews</li>
</ul>",,,,
1,39,,Khai mạc kỳ họp thứ 6 HĐND TP Đà Nẵng,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/neg_glyrtla/2017_12_05/khai_mac.jpg,,zingnews,801472,,,THỜI SỰ,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: ZingNews</li>
</ul>",,,,
