status,id,paid,title,subTitle,desc,text,tileUrl,tileUrlExpanded,src_type,src_play,progressBar,extraMeta,reviews,meta,extraReviews,trailer,series,player
1,288,,Vỏ trứng có thể ăn được?,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/tmuitg/2017_02_27/Tech_Insider__Dong_thoi_gianmp4Still002.jpg,,zingnews,724039,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,287,,Làm kem chocolate với bánh biscuit,,,,https://znews-gif-td.zadn.vn/Uploaded/tmuitg/2017_02_27/ezgif2ca05715afd.gif,,zingnews,723976,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,286,,Bánh mì nướng theo phong cách của người Nhật,,,,https://znews-gif-td.zadn.vn/Uploaded/tmuitg/2017_02_26/ezgif202938a623e.gif,,zingnews,723757,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,285,,Những công dụng của mít,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/spcwvovd/2017_02_24/jackfruit2306201602.jpg,,zingnews,723298,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,284,,Mẹo pha nước mắm chanh tỏi ớt đúng tỷ lệ vàng,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/spcwvovd/2017_02_24/acupoffishsaucecannotbemissedinavietnamesemealphotointernettin82.jpg,,zingnews,723275,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,283,,Nguyên tắc khi đi ăn buffet,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/spcwvovd/2017_02_24/circuscircusdiningbuffet.jpg,,zingnews,723272,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,282,,Nguyên tắc dùng bộ dao nĩa trên bàn tiệc tây,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/spcwvovd/2017_02_24/dung_dao_nia.jpg,,zingnews,723267,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,281,,Cách làm món kem chanh đơn giản tại nhà,,,,https://znews-gif-td.zadn.vn/Uploaded/tmuitg/2017_02_23/ezgif1a14e1df9a6.gif,,zingnews,723043,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,280,,Bánh cuộn pizza đặc biệt ăn như kem,,,,https://znews-gif-td.zadn.vn/Uploaded/tmuitg/2017_02_22/ezgif1140514b83c.gif,,zingnews,722808,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,279,,Làm mì trứng xào tôm chiên,,,,https://znews-gif-td.zadn.vn/Uploaded/tmuitg/2017_02_21/ezgif2.gif,,zingnews,722411,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,278,,Mẹo chữa hóc xương cá tại nhà,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/spcwvovd/2017_02_20/hoc_xuong_ca.jpg,,zingnews,722324,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,277,,Bánh sừng bò California đặc biệt kèm với nhân sushi,,,,https://znews-gif-td.zadn.vn/Uploaded/tmuitg/2017_02_20/ezgif1ae16f7774e222.gif,,zingnews,722215,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,276,,Bát phở khổng lồ ở Mỹ,,,,https://znews-gif-td.zadn.vn/Uploaded/ngtmns/2017_02_16/16790708_1420473931345933_1871265308_n.gif,,zingnews,721335,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,275,,Những mẹo hay với trứng cho nàng nội trợ,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/tmuitg/2017_02_16/trung_2.jpg,,zingnews,721145,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,274,,Mẹo giữ thực phẩm luôn tươi mà không cần tủ lạnh,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/spcwvovd/2017_02_16/congnghebaoquanraucuquasauthuhoach.jpg,,zingnews,721096,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,273,,Làm bánh kem dâu không cần lò nướng cho Valentine,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/OFH_oazszstq/2017_02_12/kem_dau.jpg,,zingnews,720201,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,272,,Cách cắt gọt rau củ tối ưu nàng nội trợ cần biết,,,,https://znews-gif-td.zadn.vn/Uploaded/tmuitg/2017_02_08/ngoc1.gif,,zingnews,719142,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,271,,4 mẹo hữu ích cho nàng nội trợ,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/bpivpbbp/2017_02_07/meo_vat.jpg,,zingnews,718932,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,270,,Chocolate sushi độc đáo cho ngày Valentine,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/tmuitg/2017_02_06/Where_chocolate_meets_sushi_Nestle_unveils_sushishaped_KitKmp4Still001.jpg,,zingnews,718610,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,269,,Làm món bánh dừa nướng thơm ngon,,,,https://znews-gif-td.zadn.vn/Uploaded/tmuitg/2017_02_03/ezgifcombaa4ab62a0.gif,,zingnews,717954,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,268,,Cách nấu chè trôi nước cúng rằm tháng giêng,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/bpivpbbp/2017_01_20/che_troi_nuoc.jpg,,zingnews,715070,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,267,,7 công dụng thú vị của nắp chai rượu vang,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/tmuitg/2017_01_09/Untitled_1.jpg,,zingnews,712264,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,266,,Món mì cháy đùng đùng độc đáo ở Nhật,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/ngtmns/2016_12_24/JF4_027315.jpg,,zingnews,708402,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,265,,Quán sushi sinh viên giá rẻ hút khách,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/wpdhnwww3/2016_12_17/sushiquan4.png,,zingnews,706486,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,264,,Những món ăn đặc biệt đêm Giáng sinh khắp thế giới,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/tmuitg/2016_12_12/whatchristmasdinnerlookslikearoundworld.jpg,,zingnews,705174,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,263,,Hàng nghìn người dự Liên hoan Ẩm thực tại Hà Nội,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/lce_ermnx/2016_12_11/IMG_6055.jpg,,zingnews,704859,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,262,,Quán súp cua ngon có tiếng trong chợ Tân Định,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/tmuitg/2016_12_07/sup_cua.jpg,,zingnews,703789,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,261,,Những cách cổ vũ khi nâng ly trên khắp thế giới,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/tmuitg/2016_12_05/167764870800025a1d2f3a837o.jpg,,zingnews,703269,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,260,,Dây chuyền làm món trứng tráng ở Nhật,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/tmuitg/2016_12_05/maxresdefault.jpg,,zingnews,703247,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,259,,Thưởng thức món thịt lợn chua ngọt Hàn Quốc,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/tmuitg/2016_11_29/tangsuyuk.jpg,,zingnews,701702,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,258,,Bí kíp thái hành không cay mắt,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/tmuitg/2016_11_29/Untitled1.jpg,,zingnews,701698,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,257,,Cách làm thanh chocolate bơ đậu phộng,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/tmuitg/2016_11_28/Untitled22.jpg,,zingnews,701379,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,256,,Lễ hội Ẩm thực Việt - Hàn hút giới trẻ dịp cuối tuần,,,,https://znews-gif-td.zadn.vn/Uploaded/gtnvzv/2016_11_12/ezgifcomcrop_1.gif,,zingnews,697258,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,255,,Thưởng thức món trứng bắc thảo trên đường phố Trung Quốc,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/tmuitg/2016_11_11/anh.jpg,,zingnews,697028,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,254,,Làm món mỳ bay trái cây đang khuynh đảo giới trẻ Sài Gòn,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/wpdhnwww3/2016_11_07/cachlammybay.jpg,,zingnews,695910,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
