status,id,paid,title,subTitle,desc,text,tileUrl,tileUrlExpanded,src_type,src_play,progressBar,extraMeta,reviews,meta,extraReviews,trailer,series,player
1,72,,Trâu bò thả rông trên quốc lộ 1A,,,,https://vcdn-vnexpress.vnecdn.net/2017/12/09/atraubotharongquoclo1-1512799256_360x216.jpg,,vnexpress,3682080,,,THỜI SỰ,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 10/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: VNExpress</li>
</ul>",,,,
1,71,,Dân Quảng Nam ra sông đào vàng sau lũ,,,,https://vcdn-vnexpress.vnecdn.net/2017/12/10/IMG8324-1512870755-8411-1512871477_360x216.jpg,,vnexpress,3682256,,,THỜI SỰ,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 10/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: VNExpress</li>
</ul>",,,,
1,70,,"Phóng xe tốc độ cao, nam thanh niên tử nạn",,,,https://image.thanhnien.vn/Uploaded/thanhhai/2017_12_09/tngt_RZPQ.jpg?width=300,,thanhnien,98957,,,THỜI SỰ,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Thanh Niên</li>
</ul>",,,,
1,69,,Tìm thấy nam sinh lớp 11 nhảy cầu Dã Viên,,,,https://image.thanhnien.vn/Uploaded/thanhhai/2017_12_09/untitled-4_GNSM.jpg?width=300,,thanhnien,98946,,,THỜI SỰ,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Thanh Niên</li>
</ul>",,,,
1,68,,"Bỏ lại xe đạp lại trên cầu, nam sinh lớp 11 nhảy xuống sông mất tích",,,,https://image.thanhnien.vn/Uploaded/tienptc/2017_12_09/171209huydat_nhaycaustill001_LMKK.jpg?width=300,,thanhnien,98944,,,THỜI SỰ,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Thanh Niên</li>
</ul>",,,,
1,67,,Toàn cảnh hoa lan ở Đại hội Đoàn toàn quốc,,,,https://image.thanhnien.vn/Uploaded/tienptc/2017_12_09/171209phanhau_hoalanstill001_DVTJ.jpg?width=300,,thanhnien,98940,,,THỜI SỰ,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Thanh Niên</li>
</ul>",,,,
1,66,,Tọa đàm “Bạo hành trẻ em & những vết thương suốt đời“,,,,https://image.thanhnien.vn/Uploaded/thanhhai/2017_12_09/untitled-2_QKFN.jpg?width=300,,thanhnien,98931,,,THỜI SỰ,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Thanh Niên</li>
</ul>",,,,
1,65,,Ông Đinh La Thăng và những phát ngôn,,,,https://image.thanhnien.vn/Uploaded/tienptc/2017_12_08/dinhlathang_caunoistill001_YKFZ.jpg?width=300,,thanhnien,98926,,,THỜI SỰ,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Thanh Niên</li>
</ul>",,,,
1,64,,"Ô tô tông liên hoàn, kẹt xe nghiêm trọng",,,,https://image.thanhnien.vn/Uploaded/thanhhai/2017_12_09/untitled-1_KKHP.jpg?width=300,,thanhnien,98924,,,THỜI SỰ,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Thanh Niên</li>
</ul>",,,,
1,63,,Triệt phá đường dây bán dâm cho người nước ngoài,,,,https://image.thanhnien.vn/Uploaded/thanhhai/2017_12_09/untitled-1_PVCI.jpg?width=300,,thanhnien,98921,,,THỜI SỰ,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Thanh Niên</li>
</ul>",,,,
