status,id,paid,title,subTitle,desc,text,tileUrl,tileUrlExpanded,src_type,src_play,progressBar,extraMeta,reviews,meta,extraReviews,trailer,series,player
1,24,,Bóng chày gây họa,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/spuouu2/2016_10_23/bong_chay.jpg,,zingnews,691864,,,NHỊP SỐNG,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,23,,Thỏ chén cà rốt trong siêu thị,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/spuouu2/2016_10_22/tho_trong_sieu_thi_1.png,,zingnews,691623,,,NHỊP SỐNG,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,22,,Bối rối vì ông già nhìn chằm chằm,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/spuouu2/2016_10_21/ong_gia_tho_lo_1.png,,zingnews,691350,,,NHỊP SỐNG,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,21,,"Voi nhảy hip hop, ngựa múa theo trống",,,,https://znews-photo-td.zadn.vn/w660/Uploaded/spuouu2/2016_10_19/voi.jpg,,zingnews,690856,,,NHỊP SỐNG,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,20,,Bỗng dưng muốn khóc vì chỗ đậu xe,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/spuouu2/2016_10_19/bai_do_xe_2.png,,zingnews,690855,,,NHỊP SỐNG,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,19,,Dập mũi vì bức tường vô hình,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/spuouu2/2016_10_17/buc_tuong_1_1.png,,zingnews,690211,,,NHỊP SỐNG,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,18,,Khỉ đột đu dây lấy cắp chuối,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/spuouu2/2016_10_17/khi_dot_1.png,,zingnews,690205,,,NHỊP SỐNG,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,17,,Bò tấn công người bằng tia sữa,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/spuouu2/2016_10_15/don_tan_cong_2.png,,zingnews,689771,,,NHỊP SỐNG,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,16,,Bom khoai tây nổ tung trong toilet,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/spuouu2/2016_10_15/khoai_tay_2.png,,zingnews,689764,,,NHỊP SỐNG,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,15,,Món quà chạy trốn,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/spuouu2/2016_10_14/goi_qua_2.png,,zingnews,689757,,,NHỊP SỐNG,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,14,,Thìa kỳ quái trong đĩa súp,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/spuouu2/2016_10_14/bat_sup_1.png,,zingnews,689545,,,NHỊP SỐNG,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,13,,Hai đứa trẻ biến thành khỉ,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/spuouu2/2016_10_14/khi_dot_2.png,,zingnews,689535,,,NHỊP SỐNG,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,12,,Kẻ trộm tới từ hành tinh khác,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/spuouu2/2016_10_11/sieu_nhan_trom_2.png,,zingnews,688579,,,NHỊP SỐNG,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,11,,Tưởng thằng tóc xoăn bắt trộm chó,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/spuouu2/2016_10_10/trom_cho_1.png,,zingnews,688577,,,NHỊP SỐNG,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,10,,Kết cục bi thảm của nụ hôn vụng trộm,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/spuouu2/2016_10_10/trai_si_tinh_3.png,,zingnews,688575,,,NHỊP SỐNG,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,9,,Đánh rơi miếng thịt vì tiếng chó sủa,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/spuouu2/2016_10_10/mieng_thit_4.png,,zingnews,688571,,,NHỊP SỐNG,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,8,,Nhà vệ sinh biết đi,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/spuouu2/2016_10_09/toilet_3.png,,zingnews,688254,,,NHỊP SỐNG,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,7,,Xe hơi biến mất rồi hiện ra,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/spuouu2/2016_10_09/xe_hoi_2.png,,zingnews,688246,,,NHỊP SỐNG,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,6,,Chạy mất dép vì 'con rơi' nhận cha,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/spuouu2/2016_10_08/tre_nhan_cha_2.png,,zingnews,687905,,,NHỊP SỐNG,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,5,,Gà tây cưỡi đầu người,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/spuouu2/2016_08_18/ga_tay_1_1.png,,zingnews,674755,,,NHỊP SỐNG,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,4,,Dập mặt vì huy chương khủng,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/bpmoqwq1/2016_07_28/van_dong_vien_2.png,,zingnews,669432,,,NHỊP SỐNG,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,3,,Tù nhân trốn khỏi trại giam,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/spuouu2/2016_07_27/luoi_cua_1.png,,zingnews,669147,,,NHỊP SỐNG,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,2,,Cảnh sát nghịch dại,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/bpmoqwq1/2016_06_27/canh_sat_ham.png,,zingnews,661224,,,NHỊP SỐNG,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,1,,Bỗng dưng thành pê đê,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/bpmoqwq1/2016_03_12/I_am_gay.png,,zingnews,633250,,,NHỊP SỐNG,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
