status,id,paid,title,subTitle,desc,text,tileUrl,tileUrlExpanded,src_type,src_play,progressBar,extraMeta,reviews,meta,extraReviews,trailer,series,player
1,92,,Lối đi đáy kính khiến du khách tim đập chân run,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/ngtmns/2017_12_28/518492900_1280x720.jpg,,zingnews,807486,,,DU LỊCH,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 14/01/2018</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,91,,Tàu lượn xoay 90 độ khiến du khách xanh mặt,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/ngtmns/2017_12_27/gravmaxclose.jpg,,zingnews,807290,,,DU LỊCH,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 14/01/2018</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,90,,Những thiết kế kỳ dị ở lễ hội body painting,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/ngtmns/2017_12_27/00038181_medium.jpeg,,zingnews,807255,,,DU LỊCH,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 14/01/2018</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,89,,Hồ nước có hàng triệu con sứa,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/ngtmns/2017_12_27/Untitled382740x555.jpg,,zingnews,807144,,,DU LỊCH,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 14/01/2018</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,88,,Suối nước nóng có hang động bí mật,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/ngtmns/2017_12_26/29aa0474f33543e1922a134c479e81ff.jpg,,zingnews,807009,,,DU LỊCH,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 14/01/2018</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,87,,Lâu đài như cổ tích xây từ đất sét,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/ngtmns/2017_12_26/36B3AE14000005783719683imagea32_1470137134795.jpg,,zingnews,806973,,,DU LỊCH,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 14/01/2018</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,86,,Những thiên đường nhiệt đới không thể bỏ qua trong năm 2018,,,,https://znews-gif-td.zadn.vn/Uploaded/tmuitg/2017_12_26/ezgif5078b99e174.gif,,zingnews,806937,,,DU LỊCH,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 14/01/2018</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,85,,Bạn có đoán được tên quốc gia tuyệt diệu này?,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/ngtmns/2017_12_26/polandzakopanetraveldent.jpg,,zingnews,806922,,,DU LỊCH,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 14/01/2018</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,84,,Cuộc di cư của 40 triệu con cua đỏ,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/ngtmns/2017_12_25/christmasislandimpressivemigrationredcrabs3_1.jpg,,zingnews,806692,,,DU LỊCH,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 14/01/2018</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,83,,Quán chuyên phục vụ đặc sản nhện đen khổng lồ,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/ngtmns/2017_12_24/bugscafesiemreaptarantula.jpg,,zingnews,806466,,,DU LỊCH,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 14/01/2018</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,82,,Xưởng thuộc da lớn nhất và cổ nhất thế giới,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/ngtmns/2017_12_23/tanneryfez1010.jpg,,zingnews,806294,,,DU LỊCH,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 14/01/2018</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,81,,Vì sao máy bay phải rã băng trước khi cất cánh?,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/ngtmns/2017_12_22/221696641920x1080.jpg,,zingnews,806101,,,DU LỊCH,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 14/01/2018</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,80,,Những bể bơi độc đáo bạn nhất định phải đến trong năm 2018,,,,https://znews-gif-td.zadn.vn/Uploaded/tmuitg/2017_12_21/ezgif55960d04842.gif,,zingnews,805841,,,DU LỊCH,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 14/01/2018</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,79,,Nhà hàng dưới biển lớn nhất thế giới,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/ngtmns/2017_12_21/maxresdefault.jpg,,zingnews,805709,,,DU LỊCH,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 14/01/2018</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,78,,Nhà thờ có bên trong trái ngược hoàn toàn bề ngoài,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/ngtmns/2017_12_20/aaaa.jpg,,zingnews,805478,,,DU LỊCH,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 14/01/2018</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,77,,Ngọn đồi kỳ bí có hàng nghìn cây thập tự,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/ngtmns/2017_12_20/article01A1F2A09000005DC814_964x667.jpg,,zingnews,805442,,,DU LỊCH,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 14/01/2018</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
