status,id,paid,title,subTitle,desc,text,tileUrl,tileUrlExpanded,src_type,src_play,progressBar,extraMeta,reviews,meta,extraReviews,trailer,series,player
1,25,0,Cách chuẩn bị đồ đi sinh đầy đủ và gọn nhẹ nhất- Bà bầu cần biết,You're watching,"Để chuẩn bị đón bé yêu chào đời, mẹ bầu cần phải chuẩn bị rất nhiều thứ nên khi bắt đầu bước vào tam cá nguyệt cuối cùng bà bầu nên lên danh sách và chuẩn bị dần những đồ cần chuẩn bị khi mang đi sinh","Để chuẩn bị đón bé yêu chào đời, mẹ bầu cần phải chuẩn bị rất nhiều thứ nên khi bắt đầu bước vào tam cá nguyệt cuối cùng bà bầu nên lên danh sách và chuẩn bị dần những đồ cần chuẩn bị khi mang đi sinh. Video này sẽ chia sẻ những vật dụng, hóa mĩ phẩm cần thiết cho cả mẹ và bé đầy đủ và cách sắp xếp gọn nhẹ mà bà bầu cần biết.",,hqdefault,youtube,UfLiENwWHu8,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,26,0,12 HÀNH ĐỘNG THAI NHI THƯỜNG LÀM TRONG BỤNG MẸ,You're watching,"Trong bụng mẹ thai nhi sẽ làm những việc gì? có lẽ với câu hỏi này nhiều mẹ vẫn chưa có câu trả lời chính xác , không chỉ có đạp hay cử động tay chân mà hơn thế nữa có rất nhiều hành động thai nhi thường làm trong bụng mẹ sẽ khiến bạn ngạc nhiên và thích thú đó","Trong bụng mẹ thai nhi sẽ làm những việc gì? có lẽ với câu hỏi này nhiều mẹ vẫn chưa có câu trả lời chính xác , không chỉ có đạp hay cử động tay chân mà hơn thế nữa có rất nhiều hành động thai nhi thường làm trong bụng mẹ sẽ khiến bạn ngạc nhiên và thích thú đó",,hqdefault,youtube,XNfzHv1Nfvs,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,27,0,Chăm sóc thai nhi - Thai giáo như thế nào giúp thai nhi thông minh?,You're watching,"Ai cũng mong muốn con mình chào đời sẽ thật thông minh, lanh lợi, khỏe mạnh.","Ai cũng mong muốn con mình chào đời sẽ thật thông minh, lanh lợi, khỏe mạnh. Và 1 trong những phương pháp giúp thai nhi phát triển toàn diện về trí não ngay từ khi còn trong bụng mẹ là phương pháp thai giáo bằng âm nhạc. Vậy làm sao để áp dụng phương pháp nghe nhạc cho thai nhi thông minh đúng cách chắc hẳn các mẹ bầu chúng ta vẫn còn nhiều băn khoăn như: - Nhạc bà bầu loại nào thì tốt cho thai nhi? - Âm lượng như thế nào? - Làm sao để có quá trình thai giáo tốt nhất? - Bà bầu cần làm gì để thai nhi thông minh?",,hqdefault,youtube,PGo5-xqd_l0,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,28,0,22 Điều Thai Nhi Sợ Nhất Bà Bầu Cần Biết Khi Chăm Sóc Thai Nhi,You're watching,Thai nhi sợ nhất điều gì? Những điều bà bầu cần biết khi chăm sóc thai nhi. Những lưu ý khi mang thai để chăm sóc sức khỏe bà bầu và thai nhi. Thai nhi sợ gì trong suốt 9 tháng nằm trong bụng mẹ? Các mẹ bầu hãy xem video để biết cách chăm sóc sức khỏe khi mang thai nhé.,Thai nhi sợ nhất điều gì? Những điều bà bầu cần biết khi chăm sóc thai nhi. Những lưu ý khi mang thai để chăm sóc sức khỏe bà bầu và thai nhi. Thai nhi sợ gì trong suốt 9 tháng nằm trong bụng mẹ? Các mẹ bầu hãy xem video để biết cách chăm sóc sức khỏe khi mang thai nhé.,,hqdefault,youtube,NfDdKtHeTFI,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,29,0,"Vì sao thai nhi hay ""quấy rối"" mẹ vào ban đêm",You're watching,"Vì Sao Thai Nhi Hay ""quấy Rối"" Mẹ Vào Ban Đêm || Sức Khỏe & Làm Đẹp Rất nhiều mẹ bầu than phiền rằng họ không thể ngủ ngon buổi đêm bởi hay bị thai nhi làm phiền. Vậy em bé đã làm những gì khiến mẹ mất ngủ?","Vì Sao Thai Nhi Hay ""quấy Rối"" Mẹ Vào Ban Đêm || Sức Khỏe & Làm Đẹp Rất nhiều mẹ bầu than phiền rằng họ không thể ngủ ngon buổi đêm bởi hay bị thai nhi làm phiền. Vậy em bé đã làm những gì khiến mẹ mất ngủ?",,hqdefault,youtube,NMSEsNzREw4,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,30,0,Xử lý viêm nhiễm vùng kín khi mang thai,You're watching,"Khi mang thai, người phụ nữ thường có nguy cơ mắc những bệnh phụ nữ nhiều hơn bình thường do thay đổi nội tiết và trong giai đoạn bầu bí thì môi trường vùng kín ẩm ướt hơn so với bình thường","Khi mang thai, người phụ nữ thường có nguy cơ mắc những bệnh phụ nữ nhiều hơn bình thường do thay đổi nội tiết và trong giai đoạn bầu bí thì môi trường vùng kín ẩm ướt hơn so với bình thường. Video sẽ chia sẻ các vấn đề về viêm nhiễm vùng kín khi mang thai phổ biến là các bệnh như viêm nhiễm phụ khoa khi mang thai.",,hqdefault,youtube,xq7GqyUA020,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,31,0,Quan hệ khi mang thai có ảnh hưởng tới thai nhi không,You're watching,Quan hệ khi mang thai có gây sinh non hoặc ảnh hưởng tới con không? Tư thế nào là an toàn để quan hệ khi có bầu? Giải đáp những thắc mắc của bà bầu về chuyện ấy khi mang thai.,Quan hệ khi mang thai có gây sinh non hoặc ảnh hưởng tới con không? Tư thế nào là an toàn để quan hệ khi có bầu? Giải đáp những thắc mắc của bà bầu về chuyện ấy khi mang thai.,,hqdefault,youtube,r5MczkvHvy8,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,32,0,Nguyên nhân và biểu hiện của thai lưu,You're watching,"Thai lưu là những trường hợp thai nhi không còn sống trong bụng mẹ khi chưa có dấu hiệu của chuyển dạ. Đây là 1 rủi ro, mất mát rất lớn trong quá trình mang thai.","Thai lưu là những trường hợp thai nhi không còn sống trong bụng mẹ khi chưa có dấu hiệu của chuyển dạ. Đây là 1 rủi ro, mất mát rất lớn trong quá trình mang thai. Video sẽ giải đáp những băn khoăn về vấn đề thai lưu như: - Lưu thai là gì? - Thai lưu có biểu hiện gì? - Nguyên nhân thai lưu? - Cách xử lý thai lưu?",,hqdefault,youtube,tcWav6gq_2w,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,33,0,Sẩy thai nên ăn gì để hồi phục cơ thể?,You're watching,Đối với phụ nữ sau khi bị sẩy thai ngoài sự tổn thương về tinh thần thì cơ thể người phụ nữ cũng chịu ảnh hưởng rất lớn do bị mất máu quá nhiều. Vậy chị em phụ nữ nên ăn gì để bồi bổ cơ thể 1 cách nhanh nhất sau khi không may bị sẩy thai?,Đối với phụ nữ sau khi bị sẩy thai ngoài sự tổn thương về tinh thần thì cơ thể người phụ nữ cũng chịu ảnh hưởng rất lớn do bị mất máu quá nhiều. Vậy chị em phụ nữ nên ăn gì để bồi bổ cơ thể 1 cách nhanh nhất sau khi không may bị sẩy thai?,,hqdefault,youtube,Wcq5U0vD75E,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,34,0,Hướng dẫn tư thế nằm ngủ cho bà bầu tốt nhất,You're watching,"Khi mang thai, bên cạnh thực hiện 1 chế độ dinh dưỡng, vận động phù hợp thì việc duy trì giấc ngủ ngon mỗi đêm là điều quan trọng không kém để thai phụ và thai nhi có sức khỏe và tinh thần thoải mái nhất","Khi mang thai, bên cạnh thực hiện 1 chế độ dinh dưỡng, vận động phù hợp thì việc duy trì giấc ngủ ngon mỗi đêm là điều quan trọng không kém để thai phụ và thai nhi có sức khỏe và tinh thần thoải mái nhất. Video sẽ hướng dẫn các mẹ bầu các tư thế ngủ khi mang thai an toàn, thoải mái và những bí quyết để có giấc ngủ thoải mái cho mẹ và an toàn cho thai nhi.",,hqdefault,youtube,gQQdVkMhbVM,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
