status,id,paid,title,subTitle,desc,text,tileUrl,tileUrlExpanded,src_type,src_play,progressBar,extraMeta,reviews,meta,extraReviews,trailer,series,player
1,1,0,BÁNH RÁN BÍ ĐỎ,You're watching,Bữa xế cho bé - BÁNH RÁN BÍ ĐỎ vừa xinh vừa ngon,Bữa xế cho bé - BÁNH RÁN BÍ ĐỎ vừa xinh vừa ngon,,hqdefault,youtube,YN3HJ0NG5lo,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,2,0,Súp khoai tây kem nấm,You're watching,Bữa xế cho bé - Súp khoai tây kem nấm,Bữa xế cho bé - Súp khoai tây kem nấm,,hqdefault,youtube,qCzDtdjpQpg,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,3,0,SÚP GÀ KEM BẮP,You're watching,Bữa xế cho bé - SÚP GÀ KEM BẮP béo béo ngon ngon,Bữa xế cho bé - SÚP GÀ KEM BẮP béo béo ngon ngon,,hqdefault,youtube,plNi7Ilwx8M,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,4,0,Nấm mỡ chiên xù,You're watching,Bữa xế cho bé - Nấm mỡ chiên xù,Bữa xế cho bé - Nấm mỡ chiên xù,,hqdefault,youtube,KcHFYfy9kHA,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,5,0,Bánh mỳ mè mặn,You're watching,Bữa xế cho bé - Bánh mỳ mè mặn,Bữa xế cho bé - Bánh mỳ mè mặn,,hqdefault,youtube,ewLKDtNaGpM,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,6,0,Trứng hấp tôm phô mai,You're watching,Bữa xế cho bé - Trứng hấp tôm phô mai,Bữa xế cho bé - Trứng hấp tôm phô mai,,hqdefault,youtube,ReRB-xveFTw,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,7,0,Thạch cam ngon mát,You're watching,Bữa xế cho bé - Thạch cam ngon mát,Bữa xế cho bé - Thạch cam ngon mát,,hqdefault,youtube,shZmwVeBaSI,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,8,0,Xôi viên rong biển,You're watching,Bữa xế cho bé - Xôi viên rong biển,Bữa xế cho bé - Xôi viên rong biển,,hqdefault,youtube,oeMM1J6r_Ac,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,9,0,Súp óc heo bí đỏ,You're watching,Bữa xế cho bé - Súp óc heo bí đỏ,Bữa xế cho bé - Súp óc heo bí đỏ,,hqdefault,youtube,oexQmZO6ey0,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,10,0,BÁNH KHOAI TÂY TRỨNG MUỐI,You're watching,Bữa xế cho bé - BÁNH KHOAI TÂY TRỨNG MUỐI tuyệt ngon,Bữa xế cho bé - BÁNH KHOAI TÂY TRỨNG MUỐI tuyệt ngon,,hqdefault,youtube,wL7XfgbeAn8,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
