status,id,paid,title,subTitle,desc,text,tileUrl,tileUrlExpanded,src_type,src_play,progressBar,extraMeta,reviews,meta,extraReviews,trailer,series,player
1,19,0,Hướng dẫn: Matxa trẻ sơ sinh 6 tháng tuổi giúp bé ăn ngon ngủ ngon mỗi ngày,You're watching,Trẻ sơ sinh các mẹ cần chăm sóc kỹ nhất là thường xuyên matxa cho trẻ giúp bé ăn ngon ngủ ngon mỗi ngày. Các bạn cùng theo dõi clip hướng dẫn của điều dưỡng chăm sóc và matxa cho trẻ 6 tháng tuổi,Trẻ sơ sinh các mẹ cần chăm sóc kỹ nhất là thường xuyên matxa cho trẻ giúp bé ăn ngon ngủ ngon mỗi ngày,,hqdefault,youtube,7uLzWIvK27k,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,20,0,"Hướng dẫn: matxa chống đầy hơi, táo bón cho trẻ sơ sinh tại nhà",You're watching,"Ngày nay trẻ sơ sinh thường hay bị đầy hơi và táo bón, các mẹ có thể tự matxa để bé yêu có thể ăn ngon ngủ ngon mỗi ngày. ","Ngày nay trẻ sơ sinh thường hay bị đầy hơi và táo bón, các mẹ có thể tự matxa để bé yêu có thể ăn ngon ngủ ngon mỗi ngày. Clip hướng dẫn matxa dưới đây rất dễ làm để các mẹ có thể chống đầy hơi và trị táo bón cho trẻ sơ sinh.",,hqdefault,youtube,g-pB1Sqi7pc,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,21,0,Hướng dẫn: xỏ lỗ tai cho trẻ sơ sinh tại nhà,You're watching,Ngày nay việc xỏ lỗ tai chó trẻ sơ sinh là công việc đơn giản các mẹ cũng có thể xỏ lỗ tai có bé yêu tại nhà,Ngày nay việc xỏ lỗ tai chó trẻ sơ sinh là công việc đơn giản các mẹ cũng có thể xỏ lỗ tai có bé yêu tại nhà 1 cách an toàn theo hướng dẫn dưới đây và chú ý sát trùng kim xỏ lỗ tai,,hqdefault,youtube,ZjhQUCVmGNo,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,22,0,Hướng dẫn: nhỏ mắt cho trẻ sơ sinh tại nhà giúp bé khỏe mạnh,You're watching,Ngày này các trẻ sơ sinh dễ bị bệnh ở mắt nên các mẹ phải chú ý vệ sinh và phòng ngừa bằng cách dùng dung dịch nhỏ mắt làm sạch đúng cách.,Ngày này các trẻ sơ sinh dễ bị bệnh ở mắt nên các mẹ phải chú ý vệ sinh và phòng ngừa bằng cách dùng dung dịch nhỏ mắt làm sạch đúng cách. Thông qua hướng dẫn nhỏ mắt này thì các mẹ sẽ biết cách chăm sóc trẻ sơ sinh,,hqdefault,youtube,aOEWytXWVv0,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,23,0,Sự thay đổi rốn trẻ sơ sinh trong 8 ngày diễn ra như thế nà,You're watching,Các mẹ cần chú ý rốn trẻ sơ sinh thay đổi từng ngày và nhớ vễ sinh cuống rốn sạch sẽ,"Các mẹ cần chú ý rốn trẻ sơ sinh thay đổi từng ngày và nhớ vễ sinh cuống rốn sạch sẽ, từ lúc trẻ sơ sinh cuống rốn được cắt và kẹp sau khoảng 8 ngày cuống rốn sẽ rụng",,hqdefault,youtube,6Gk4m1B4rGw,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,24,0,7 Ngày rụng rốn của bé sơ sinh,You're watching,"Cuống rốn đối với trẻ sơ sinh vô cùng quan trọng vì vậy luôn cần phải chăm sóc cẩn thận , luôn giữ sạch và khô cuống rốn","Cuống rốn đối với trẻ sơ sinh vô cùng quan trọng vì vậy luôn cần phải chăm sóc cẩn thận , luôn giữ sạch và khô cuống rốn. Cuống rốn sau khi sinh em bé thông thường 5 đến 7 ngày sẽ tự rụng con so thường muộn hơn con dạ, cần không gian thoáng đãng nên để cuống rốn hở, làm như thế cuống rốn chóng khô và mau rụng hơn",,hqdefault,youtube,uq1ZQn3MxC4,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,25,0,"Hướng dẫn: cắt móng tay, móng chân cho trẻ sơ sinh tại nhà",You're watching,Móng tay móng chân của trẻ sơ sinh rất mềm mại và yếu ớt nhưng vẫn có độ sắc nét làm tổn hại đến da em bé vì vậy mẹ cần cắt tỉa cho bé 1-2 lần mỗi tuần.,"Móng tay móng chân của trẻ sơ sinh rất mềm mại và yếu ớt nhưng vẫn có độ sắc nét làm tổn hại đến da em bé vì vậy mẹ cần cắt tỉa cho bé 1-2 lần mỗi tuần. Để cắt móng tay móng chân cho bé an toàn mẹ cần mua bấm móng tay hoặc kéo có kích thước phù hợp với móng tay bé, cần chọn thời điểm thích hợp là bé đang ngủ để tránh làm tổn thương bé. Đây là clip của điều dưỡng tại 1 bệnh viện hướng dẫn cho các mẹ cách cắt móng tay, móng chân cho trẻ sơ sinh tại nhà.",,hqdefault,youtube,gimFmP4ihBE,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,26,0,Hướng dẫn: Mát-xa cho bé sơ sinh tại nhà giúp bé phát triển thể chất,You're watching,"Mát-xa cho bé sơ sinh có vai trò quan trọng giúp bé phát triển thể chất, chiều cao, tăng cường trao đổi chất, cải thiện hệ tiêu hóa thần kinh giúp bé ăn ngon","Mát-xa cho bé sơ sinh có vai trò quan trọng giúp bé phát triển thể chất, chiều cao, tăng cường trao đổi chất, cải thiện hệ tiêu hóa thần kinh giúp bé ăn ngon, ngủ ngon hằng ngày.Ngoài ra phương pháp xoa bóp này giúp não bé phát triển tốt hơn. Kết hợp các hoạt động thể chất mát-xa cũng giúp xương bé phát triển. Rất nhiều trung tâm chăm sóc trẻ sơ sinh đã dùng liệu pháp này áp dụng như một phần dịch vụ chăm sóc.",,hqdefault,youtube,gB3yEdFJN2U,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,27,0,Hướng dẫn: Vệ sinh rốn cho trẻ sơ sinh tại nhà,You're watching,Hướng dẫn vệ sinh rốn cho em bé nhằm cung cấp kiến thức cho các bà mẹ sau sinh về việc làm vệ sinh cho trẻ hằng ngày. ,"Hướng dẫn vệ sinh rốn cho em bé nhằm cung cấp kiến thức cho các bà mẹ sau sinh về việc làm vệ sinh cho trẻ hằng ngày. Với em bé trong bụng mẹ, dây rốn có vai trò quan trọng trung chuyển những chất dinh dưỡng từ mẹ để bé có thể phát triển mỗi ngày. Sau khi bé được sinh ra dây rốn không còn vai trò quan trọng nữa nên Bác Sĩ cắt bỏ, thời gian rốn khô và rụng rốn là 7 đến 21 ngày. Vì cuống rốn là 1 vết thương hở nếu không chăm sóc đúng cách thì khả năng nhiễm trùng rất cao. Nguy hiểm hơn bé nhiễm trùng rốn sẽ dẫn đến nhiễm trùng máu thậm chí gây tử vong cho bé.",,hqdefault,youtube,PQzieiBGbug,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,28,0,Cắt rốn và làm rốn cho trẻ sơ sinh- Cord blood collection,You're watching,"Cắt rốn và làm rốn là cắt ngắn dây rốn, sát khuẩn và băng phần rốn về phía trẻ sơ sinh.","Cắt rốn và làm rốn là cắt ngắn dây rốn, sát khuẩn và băng phần rốn về phía trẻ sơ sinh. Cắt rốn là cắt dây rốn khỏi bánh rau khi thai đã sổ ra ngoài vì khi đó việc duy trì sự sống của thai qua trao đổi máu và khí giữa tử cung và bánh rau thông qua dây rốn không còn nữa dây rốn là nguồn cung cấp sụ sống của Mẹ và Bé. Cord blood collection in hospital",,hqdefault,youtube,8a1GmI5TYRY,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
