status,id,paid,title,subTitle,desc,text,tileUrl,tileUrlExpanded,src_type,src_play,progressBar,extraMeta,reviews,meta,extraReviews,trailer,series,player
1,384,,Mực khổng lồ đúng chất Hong Kong ở Hà Nội,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/ngtmns/2017_08_02/muc_khong_lo.jpg,,zingnews,768120,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,383,,4 loại nước uống giải khát bổ sung vitamin,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/tmuitg/2017_07_14/4_Hydrating_Vitamin_Waters_Save_this_recipe__Nourish_by_Tastemademp4Still0011111.jpg,,zingnews,763013,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,382,,Cách giúp chảo chống dính lâu hỏng,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/ngtmns/2017_07_11/aa.jpg,,zingnews,761920,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,381,,4 loại nước giải khát bổ sung năng lượng tự nhiên không chứa caffein,,,,https://znews-gif-td.zadn.vn/Uploaded/tmuitg/2017_07_05/ezgif3061099c977.gif,,zingnews,760480,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,380,,Cơm dừa ăn kèm gà nướng mật ong,,,,https://znews-gif-td.zadn.vn/Uploaded/tmuitg/2017_06_27/ezgif3a443d7757d.gif,,zingnews,758164,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,379,,Cà phê cóc độc đáo ở Sài Gòn,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/lerl/2017_06_25/Capheviahe.jpg,,zingnews,757565,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,378,,Chương trình Giao lưu văn hóa ẩm thực Hà Nội với bạn bè quốc tế,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/ayhunwx/2017_06_16/1_zing.jpg,,zingnews,755475,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,377,,Hô biến củ cà rốt thành cây sáo,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/jaroin/2017_06_14/Whistle_thumb.jpg,,zingnews,754930,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,376,,Cách làm món char kwway teow,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/ayhunwx/2017_06_14/2_zing.jpg,,zingnews,754865,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,375,,Cà phê cát độc đáo đứng vào hàng di sản,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/jaroin/2017_06_14/MakingTurkishSandCoffee.jpg,,zingnews,754752,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
