status,id,paid,title,subTitle,desc,text,tileUrl,tileUrlExpanded,src_type,src_play,progressBar,extraMeta,reviews,meta,extraReviews,trailer,series,player
1,24,,"Mẹo làm đẹp da, đuổi rệp, làm sạch bóng đồ da, đồ bạc, làm mềm thịt nướng với Chuối",,,,https://image.thanhnien.vn/Uploaded/thuyduong/2016_07_04/avachuoi_NZCR.jpg?width=300,https://image.thanhnien.vn/Uploaded/thuyduong/2016_07_04/avachuoi_NZCR.jpg?width=600,,70398,,"<h5>Mẹo làm đẹp da, đuổi rệp, làm sạch bóng đồ da, đồ bạc, làm mềm thịt nướng với Chuối</h5>",MẸO VẶT,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Thanh Niên</li>
</ul>",,,,
1,23,,"Mẹo làm trắng da, ủ tóc, bón cây, khử mùi với bã Cà phê",,,,https://image.thanhnien.vn/Uploaded/thuyduong/2016_07_04/avacafe_PBHB.jpg?width=300,https://image.thanhnien.vn/Uploaded/thuyduong/2016_07_04/avacafe_PBHB.jpg?width=600,,70396,,"<h5>Mẹo làm trắng da, ủ tóc, bón cây, khử mùi với bã Cà phê</h5>",MẸO VẶT,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Thanh Niên</li>
</ul>",,,,
1,22,,Mẹo vặt: Giúp bạn dễ ngủ,,,,https://image.thanhnien.vn/Uploaded/thuyduong/2016_06_29/avadengu_ODUE.jpg?width=300,https://image.thanhnien.vn/Uploaded/thuyduong/2016_06_29/avadengu_ODUE.jpg?width=600,,70394,,<h5>Mẹo vặt: Giúp bạn dễ ngủ</h5>,MẸO VẶT,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Thanh Niên</li>
</ul>",,,,
1,21,,"Mẹo làm sạch, khử mùi thớt, đồ inox, da tay, đồ nhựa ... chỉ với quả Chanh",,,,https://image.thanhnien.vn/Uploaded/thuyduong/2016_06_28/chanhava_CQHV.jpg?width=300,https://image.thanhnien.vn/Uploaded/thuyduong/2016_06_28/chanhava_CQHV.jpg?width=600,,70392,,"<h5>Mẹo làm sạch, khử mùi thớt, đồ inox, da tay, đồ nhựa ... chỉ với quả Chanh</h5>",MẸO VẶT,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Thanh Niên</li>
</ul>",,,,
1,20,,Mẹo vặt: Cách làm dầu dừa,,,,https://image.thanhnien.vn/Uploaded/thuyduong/2016_06_28/titdaudaudua_LMDU.jpg?width=300,https://image.thanhnien.vn/Uploaded/thuyduong/2016_06_28/titdaudaudua_LMDU.jpg?width=600,,70390,,<h5>Mẹo vặt: Cách làm dầu dừa</h5>,MẸO VẶT,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Thanh Niên</li>
</ul>",,,,
1,19,,Mẹo vặt: Chữa mụn thịt,,,,https://image.thanhnien.vn/Uploaded/thuyduong/2016_06_28/avadau_MGWI.jpg?width=300,https://image.thanhnien.vn/Uploaded/thuyduong/2016_06_28/avadau_MGWI.jpg?width=600,,70388,,<h5>Mẹo vặt: Chữa mụn thịt</h5>,MẸO VẶT,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Thanh Niên</li>
</ul>",,,,
1,18,,Mẹo vặt: Làm thuốc trừ sâu bằng nguyên liệu thiên nhiên,,,,https://image.thanhnien.vn/Uploaded/thuyduong/2016_06_28/hinhdauavaok_TCWM.jpg?width=300,https://image.thanhnien.vn/Uploaded/thuyduong/2016_06_28/hinhdauavaok_TCWM.jpg?width=600,,70386,,<h5>Mẹo vặt: Làm thuốc trừ sâu bằng nguyên liệu thiên nhiên</h5>,MẸO VẶT,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Thanh Niên</li>
</ul>",,,,
1,17,,Mẹo vặt: Nước tẩy đa năng từ giấm,,,,https://image.thanhnien.vn/Uploaded/thuyduong/2016_07_04/dam_FBNB.jpg?width=300,https://image.thanhnien.vn/Uploaded/thuyduong/2016_07_04/dam_FBNB.jpg?width=600,,70384,,<h5>Mẹo vặt: Nước tẩy đa năng từ giấm</h5>,MẸO VẶT,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Thanh Niên</li>
</ul>",,,,
1,16,,Mẹo vặt: Chữa tóc khô,,,,https://image.thanhnien.vn/Uploaded/thuyduong/2016_06_28/hinhdaudauutoc_DZRF.jpg?width=300,https://image.thanhnien.vn/Uploaded/thuyduong/2016_06_28/hinhdaudauutoc_DZRF.jpg?width=600,,70382,,<h5>Mẹo vặt: Chữa tóc khô</h5>,MẸO VẶT,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Thanh Niên</li>
</ul>",,,,
1,15,,Mẹo vặt: Trị hóc xương cá,,,,https://image.thanhnien.vn/Uploaded/thuyduong/2016_06_19/ava_ZNJE.jpg?width=300,https://image.thanhnien.vn/Uploaded/thuyduong/2016_06_19/ava_ZNJE.jpg?width=600,,70380,,<h5>Mẹo vặt: Trị hóc xương cá</h5>,MẸO VẶT,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Thanh Niên</li>
</ul>",,,,
