status,id,paid,title,subTitle,desc,text,tileUrl,tileUrlExpanded,src_type,src_play,progressBar,extraMeta,reviews,meta,extraReviews,trailer,series,player
1,49,0,MỰC NẢI CHUỐI,You're watching,Cách làm MỰC NẢI CHUỐI dễ thương ăn cho vui,"Cách làm MỰC NẢI CHUỐI, mực ống nhồi thịt heo tạo hình nải chuối độc lạ dễ thương rất là hấp dẫn luôn các bạn ơi!",,hqdefault,youtube ,4iv2-cjRLBM,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Source: Bếp Gia Đình</li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,50,0,MỰC SỮA CHIÊN NƯỚC MẮM,You're watching,Cách làm MỰC SỮA CHIÊN NƯỚC MẮM rất hấp dẫn,"Cách làm MỰC SỮA CHIÊN NƯỚC MẮM ngon tuyệt rất là hấp dẫn luôn nè các bạn ơi. Món này nhâm nhi cùng bạn bè, người thân, gia đình là số z luôn ^^",,hqdefault,youtube ,l07BYlgmxJE,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Source: Bếp Gia Đình</li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,51,0,SÒ LÔNG NƯỚNG PHÔ MAI MỠ HÀNH,You're watching,Cách làm SÒ LÔNG NƯỚNG PHÔ MAI MỠ HÀNH siêu ngon,"Cách làm sò lông nướng ngon tuyệt vời luôn các bạn ơi, vị thơm ngon của phô mai, mỡ hành hòa vào thịt sò dai mềm tạo nên 1 hương vị độc đáo, ngon không thể tả!!",,hqdefault,youtube ,FuyWXiFZbQE,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Source: Bếp Gia Đình</li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,52,0,SÒ HUYẾT XÀO ME,You're watching,Cách làm SÒ HUYẾT XÀO ME cực ngon mà đơn giản,"Cách làm SÒ HUYẾT XÀO ME nhăm nhi cùng bạn bè gia đình nè các bạn ơi, món này ăn rất là ghiền nhé, chua chua ngọt ngọt, dai ngon rất là hấp dẫn luôn!",,hqdefault,youtube ,Klpy4ksW9nc,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Source: Bếp Gia Đình</li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,53,0,BẮP XÀO ỐC HƯƠNG,You're watching,Cách làm BẮP XÀO ỐC HƯƠNG ngon dễ quá đã,"Cách làm BẮP XÀO ỐC HƯƠNG thơm ngon rất là đơn giản, dễ dàng thực hiện, món ăn vặt tuyệt vời không thể bỏ qua các bạn ới ơi !!",,hqdefault,youtube ,ulqkwti7S2U,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Source: Bếp Gia Đình</li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,54,0,PIZZA HẢI SẢN BẰNG NỒI CƠM ĐIỆN,You're watching,Cách làm PIZZA HẢI SẢN BẰNG NỒI CƠM ĐIỆN thật tuyệt vời,"Cách làm pizza hải sản cực kỳ thơm ngon hấp dẫn bằng nồi cơm điện, không cần lò nướng, tôm mực rau củ tươi ngon, phô mai phơm phức, pizza thật là tuyệt vời !",,hqdefault,youtube ,qM_R9S8ovDk,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Source: Bếp Gia Đình</li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,55,0,CUA BIỂN RANG ME,You're watching,Cách làm CUA BIỂN RANG ME đơn giản cực ngon,"Cách làm cua biển rang me rất là đơn giản, dễ dàng thực hiện mà lại vô cùng thơm ngon hấp dẫn luôn các bạn ơi",,hqdefault,youtube ,2pYz8fX8BTk,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Source: Bếp Gia Đình</li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,56,0,NEM HẢI SẢN CHIÊN GIÒN,You're watching,Cách làm NEM HẢI SẢN CHIÊN GIÒN ngon thơm đơn giản,"Cách làm NEM HẢI SẢN CHIÊN GIÒN rất là đơn giản, dễ thực hiện mà rất là thơm ngon, bên ngoài giòn bên trong mềm ngọt hấp dẫn vô cùng.",,hqdefault,youtube ,PtYCTNFA-9Y,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Source: Bếp Gia Đình</li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,57,0,TRỨNG NẤU TRONG TRÁI BÍ ĐỎ,You're watching,Cách làm TRỨNG NẤU TRONG TRÁI BÍ ĐỎ độc lạ ngon dễ,"Cách làm trứng hấp trái bí đỏ cùng với hải sản tôm nghêu rất đơn giản mà lại độc đáo, thơm ngon hấp dẫn.",,hqdefault,youtube ,UKYpFZa98pU,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Source: Bếp Gia Đình</li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,58,0,KEM TÔM CHIÊN XÙ,You're watching,Cách làm KEM TÔM CHIÊN XÙ độc lạ giòn thơm hấp dẫn,"Cách làm kem tôm chiên xù đơn giản, dễ làm, thơm giòn ngon ngây ngất, món ăn chơi, ăn vặt hay đãi bạn bè, người thân là rất tuyệt vời luôn các bạn ơi!",,hqdefault,youtube ,7AT8iDyO6Y8,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Source: Bếp Gia Đình</li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
