status,name,value
1,i,2PACX-1vS3yB3nRflmMbMuGjhHzPwihDYOb7E7-3dqACj6KkEt6GjEhQuJAT3JERUmjJ6Vs_IlRvJ-YljlFrKX
1,menu,"          {
              ""logo"": {
                  ""img"": ""https://rawgit.com/vidtop/vinavideo/master/vinavideo_38.png"",
                  ""name"": ""VinaVideo"",
                  ""link"": ""#""
              },
              ""menus"": [
               {
                      ""name"": ""Món Ngon Gia Đình"",
                      ""link"": ""#i/eva-cuisine"",
                      ""childs"": [
                          {
                              ""name"": ""Bánh Ngọt"",
                              ""link"": ""#c/cuisine-banhngot""
                          },
                          {
                              ""name"": ""Món Ngon Gia Đình"",
                              ""link"": ""#c/cuisine-monngon""
                          }
                      ]
                  },
                  {
                      ""name"": ""Bé Yêu Mẹ Bầu"",
                      ""link"": ""#i/eva-mommy"",
                      ""childs"": [
                          {
                              ""name"": ""Tiền Sản"",
                              ""link"": ""#c/mommy-tiensan""
                          },
                          {
                              ""name"": ""Sơ Sinh"",
                              ""link"": ""#c/mommy-sosinh""
                          },
                          {
                              ""name"": ""Dinh Dưỡng"",
                              ""link"": ""#c/mommy-dinhduong""
                          },
                          {
                              ""name"": ""Món Ngon Cho Bé"",
                              ""link"": ""#c/mommy-monan""
                          }

                      ]
                  }
              ]
          }"
1,player,2PACX-1vRVzDghMrAMEqAlBsATTPz0HudfkFaILjS803usGRhKKlARTQnWW5mLAdzDxQ8vWNXKE9CEXXt2rDwu.1
1,i|eva-mommy,2PACX-1vQl8395BgV9hLJp5PjSIXsS4IzxxI8v_QDln8RJdioFS6UkLenl1WDynOkZhoZPHPhskxQjIXBp5Lm0
1,c|mommy-sosinh,2PACX-1vQ5cF-8T7ovaaitVRP6PhVBTTUJSLOmj_hvXWoOFXDRE0xSOLgphaj5k7OwfXADvUnOU0S_U3PD_1qd
1,c|mommy-sosinh*1,2PACX-1vRusYtzgnElrOJIyOaPM-zE2EE-WAo8nQ6oa8Bfvu7KpWQgGsRpYgaGK4Iv2Cl1WCH0qRAQiKqnnptQ
1,c|mommy-sosinh*2,2PACX-1vTPc9fXXZ4exIITh-S4vz29NGQBZUZptpaY3zyssaG9VIe_SowLNDhLscytCEn7q5XtL2uASTZIMsL1
1,c|mommy-sosinh*3,2PACX-1vTNzQJ6a5JcKi-XTq6r-tkyCwKnsiztFmzVSTP78VIzqbVXkEfbH94cd9X610EWwlhY6AulkiW3pex7
1,c|mommy-sosinh*4,2PACX-1vQXW6lpVvxchI5fqByUHZYFvJ43meTP3iri3f9e2lUiqYM6GbjdawLEuy4IYaxkvNJhvRRWURf5Zvpp
1,c|mommy-dinhduong,2PACX-1vQIBSTJu2D23oi2HtbFaALwcz5bzdJWu8Lhkab_oa2lghx8LG0NDSpWb8ekqy2e8hDGynXRZXJbKF-a
1,c|mommy-dinhduong*1,2PACX-1vSU32d8XYEZO2BvyP_wQvKeFh6ni7phzEs1NqwAKv5KDGdIbKd1egzCjh_aX6cBdnYnLzOGtEgT8f9K
1,c|mommy-monan,2PACX-1vRbj0fCMdqSMEDFou-io-iASHJVwvqtk2fZKwgafahoS5mZtd5-MjTJCv5faNsyhHgoIvdd07TZbExV
1,c|mommy-monan*1,2PACX-1vT1h7jWcncV3-k6PFMUBcp7nRDMSbkfEDR4yD8F_7MfaO5zMMofvwXI7YHuotWnw-7ebra_NJ2cx4Ro
1,c|mommy-tiensan,2PACX-1vQOoPSlDh_yJR1Fb8dAJeaHFW5g2Iu1fQng4o96qR3TJuIzG5TgGP5ii4YY4YcXH7exm0-BwwTTA5kV
1,c|mommy-tiensan*1,2PACX-1vRK0N_Bwc8vyM2TuhR6iFd7FzZXuKjK-oFaez4nlJjWIWuBmZPzdz6B2ihWk-KW6W-0D17EZg2wXpkJ
1,i|eva-cuisine,2PACX-1vQj-AeL-Z4eJDypCSie8EXHquIpMoz02CnAPqhaemq7UdGOIwea1s6u73HVnSTv9vG1HlwEE9UiyYdb
1,c|cuisine-banhngot,2PACX-1vRcG-ZE71W0Bw20nzwfpZUkzJVMlCbbgDLlvThVHWs7PAJTwkutu0xdtq_JLV1LCADpjJCzFvE_7w3l
1,c|cuisine-monngon,2PACX-1vTeRbbtDyHihU1auX4Acb0vuC1Q4MnDolY4h4WVei5cUT4VfvYFkofQ0QMVBvai1CuAoH9A-BwcNsPT
1,c|cuisine-monngon*1,2PACX-1vTt_wLbQLUiJPTcOGjNEdBAATGUXh8NBmu2DHfIKdPuL4C7KGsG-nN6aYHNniIuGPiMaPV6Ut_dDJ0H
1,c|cuisine-monngon*2,2PACX-1vSRzbYQ-epl_QYadbqx5SZNzePE5va4SZlP95COHAQSlJ_dS_c1qKmzHkdjqubfVQTZk5uyrxzb_TGl
1,c|cuisine-monngon*3,2PACX-1vQhFknVQhj4KQc2cf2pwys12iFle86NiK9syhZGVbstpSDpgGYhjzs-uPks44vR-oLCOz38MK2xoIkj
1,c|cuisine-monngon*4,2PACX-1vQzuneT2XrGtKSDHbcVi-kgxlMXA6QCiumVFPGfFKswraKZZigB5NOVUu9Ff7N4XnzxbTBQp9KQiWaM
