status,id,paid,title,subTitle,desc,text,tileUrl,tileUrlExpanded,src_type,src_play,progressBar,extraMeta,reviews,meta,extraReviews,trailer,series,player
1,336,,Món bạch tuộc non trên đường phố Bangkok,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/tmuitg/2017_04_19/Food_truck_serves_whole_baby_octopus__Business_Insidermp4Still001.jpg,,zingnews,739012,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,335,,Cách làm hoa quả dầm kiểu Tây thơm ngon tại nhà,,,,https://znews-gif-td.zadn.vn/Uploaded/tmuitg/2017_04_18/ezgif31ba6624051.gif,,zingnews,738742,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,334,,4 bữa tối đơn giản trong một chảo nướng,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/tmuitg/2017_04_18/4_Simple_OnePan_Dinnersmp4Still002.jpg,,zingnews,738658,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,333,,"Cách làm sinh tố dứa thơm ngon, sánh mịn",,,,https://znews-photo-td.zadn.vn/w660/Uploaded/tmuitg/2017_04_17/3_Ingredient_Pineapple_Soft_Serve_Real_Simplemp4Still001.jpg,,zingnews,738405,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,332,,Cách pha chế cà phê trên khắp thế giới,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/tmuitg/2017_04_17/cafe.jpg,,zingnews,738361,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,331,,Trang trí bánh ngọt giống hệt sushi,,,,https://znews-gif-td.zadn.vn/Uploaded/tmuitg/2017_04_17/ezgif384a8529532.gif,,zingnews,738323,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,330,,Cách nấu sẵn mì ăn liền khi du lịch,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/tmuitg/2017_04_16/Delish__These_Traveling_Noodles_are_the_most_genius_thing_to_domp4Still002.jpg,,zingnews,738190,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,329,,Món ngon dễ làm: Sườn chua ngọt kiểu Trung Hoa,,,,https://znews-gif-td.zadn.vn/Uploaded/tmuitg/2017_04_14/ezgif395783c20ef.gif,,zingnews,737589,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,328,,Món ngon dễ làm: Đùi gà xào chanh với mật ong,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/tmuitg/2017_04_14/This_one_pan_honey_lemon_chicken__veggies_is_perfect_for_a_weeknight_dinner_mp4Still00111_1.jpg,,zingnews,737469,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,327,,Giấy bọc thực phẩm làm từ sáp ong có thể giặt sạch,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/ngtmns/2017_04_13/ava.jpg,,zingnews,737311,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,326,,Kem trái cây khổng lồ ở Thái Lan,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/jaroin/2017_04_11/Thai_lan_thumb.jpg,,zingnews,736377,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,325,,Cách bảo quản cơm nguội để không gây hại sức khỏe,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/bpivpbbp/2017_04_10/com_nguoi.jpg,,zingnews,736295,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
1,324,,Chế biến món trứng cuộn phô mai Nhật Bản trong 3 phút,,,,https://znews-photo-td.zadn.vn/w660/Uploaded/mdf_drkyxd/2017_04_10/maxresdefault.jpg,,zingnews,736263,,,ẨM THỰC,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Lúc: 08/12/2017</li>
<li class=""synopis-meta-spacer"">Nguồn: Zing News</li>
</ul>",,,,
