status,id,paid,title,subTitle,desc,text,tileUrl,tileUrlExpanded,src_type,src_play,progressBar,extraMeta,reviews,meta,extraReviews,trailer,series,player
1,25,0,Cơm ba rọi sốt chua cay,You're watching,Tự làm mới ngon: Cơm ba rọi sốt chua cay,Tự làm mới ngon: Cơm ba rọi sốt chua cay,,hqdefault,youtube,4xg1aQL8x94,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,26,0,Bánh mỳ nướng sa tế,You're watching,Tự làm mới ngon: Bánh mỳ nướng sa tế,Tự làm mới ngon: Bánh mỳ nướng sa tế,,hqdefault,youtube,DJyj-UvLEi0,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,27,0,Bánh gạo Topokki,You're watching,Tự làm mới ngon: Bánh gạo Topokki,Tự làm mới ngon: Bánh gạo Topokki,,hqdefault,youtube,R-m3Jm6BzUI,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,28,0,Cách chế biến ăn dặm cho trẻ 9-11 tháng,You're watching,"Video hướng dẫn chế biến ăn dặm cho trẻ giai đoạn 3, từ 9-11 tháng. Chúc các bố các mẹ kiên trì, thành công với phương pháp ăn dặm kiểu Nhật này nhé.","Video hướng dẫn chế biến ăn dặm cho trẻ giai đoạn 3, từ 9-11 tháng. Chúc các bố các mẹ kiên trì, thành công với phương pháp ăn dặm kiểu Nhật này nhé.",,hqdefault,youtube,8fd8Dj54i2k,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,29,0,Cách chế biến ăn dặm cho trẻ 5-6 tháng,You're watching,"Video hướng dẫn chế biến ăn dặm cho trẻ giai đoạn 1, từ 5-6 tháng. Chúc các bố các mẹ kiên trì, thành công với phương pháp ăn dặm kiểu Nhật này nhé.","Video hướng dẫn chế biến ăn dặm cho trẻ giai đoạn 1, từ 5-6 tháng. Chúc các bố các mẹ kiên trì, thành công với phương pháp ăn dặm kiểu Nhật này nhé.",,hqdefault,youtube,XdsfHuJtOVU,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,30,0,Cách chế biến ăn dặm cho trẻ 7-8 tháng,You're watching,"Video hướng dẫn chế biến ăn dặm cho trẻ giai đoạn 2, từ 7-8 tháng. Chúc các bố các mẹ kiên trì, thành công với phương pháp ăn dặm kiểu Nhật này nhé.","Video hướng dẫn chế biến ăn dặm cho trẻ giai đoạn 2, từ 7-8 tháng. Chúc các bố các mẹ kiên trì, thành công với phương pháp ăn dặm kiểu Nhật này nhé.",,hqdefault,youtube,kElcd_La9F0,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,31,0,Menu cho bé 10-11 tháng tuổi,You're watching,Menu cho bé 10-11 tháng tuổi,Menu cho bé 10-11 tháng tuổi,,hqdefault,youtube,F-_XV3XgtQk,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,32,0,"ăn dặm kiểu nhật , cách chế biến rau củ 5-6 tháng tuổi",You're watching,"ăn dặm kiểu nhật , cách chế biến rau củ 5-6 tháng tuổi","ăn dặm kiểu nhật , cách chế biến rau củ 5-6 tháng tuổi",,hqdefault,youtube,Q3ZZZOYwZDQ,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,33,0,"ăn dặm kiểu nhật ( nấu cháo bằng chén cho trẻ 5,6 tháng tuổi)",You're watching,"ăn dặm kiểu nhật ( nấu cháo bằng chén cho trẻ 5,6 tháng tuổi)","ăn dặm kiểu nhật ( nấu cháo bằng chén cho trẻ 5,6 tháng tuổi)",,hqdefault,youtube,V5c2lm0yYRQ,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,34,0,"ăn dặm 7-8 tháng tuổi , súp củ cải cá ngừ",You're watching,"ăm dặm7-8 tháng , Súp củ cải cá ngừ kiểu nhật","ăm dặm7-8 tháng , Súp củ cải cá ngừ kiểu nhật",,hqdefault,youtube,kgDgxWRkAlc,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,35,0,"ăn dặm kiểu nhật 7- 8 tháng tuổi , cháo cà rốt đậu phụ",You're watching,"mẹ chỉ cần 5-10 phút để hoàn thành món ăn cân bằng chất dinh dưỡng như vitamin , chất đạm .","mẹ chỉ cần 5-10 phút để hoàn thành món ăn cân bằng chất dinh dưỡng như vitamin , chất đạm .",,hqdefault,youtube,4XrChgbN1LI,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
