status,id,paid,title,subTitle,desc,text,tileUrl,tileUrlExpanded,src_type,src_play,progressBar,extraMeta,reviews,meta,extraReviews,trailer,series,player
1,55,0,Nấu cháo dinh dưỡng ngon và an toàn cho bé,You're watching,Những bát cháo dinh dưỡng chính tay mẹ nấu vừa ngon lại an toàn chắc chắn sẽ khiến bé ngon miệng,Những bát cháo dinh dưỡng chính tay mẹ nấu vừa ngon lại an toàn chắc chắn sẽ khiến bé ngon miệng. Các bà mẹ hãy tự tin với công thức được hướng dẫn trong clip,,hqdefault,youtube,dpdJxkjGmLE,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,56,0,Kinh nghiệm “ăn dặm không nước mắt”,You're watching,"Cùng nghe chị Nguyễn Thị Ninh, mẹ bé Xoài tác giả cuốn sách “Ăn dặm không nước mắt” chia sẻ kinh nghiệm nuôi con của mình.","Cùng nghe chị Nguyễn Thị Ninh, mẹ bé Xoài tác giả cuốn sách “Ăn dặm không nước mắt” chia sẻ kinh nghiệm nuôi con của mình.",,hqdefault,youtube,sZOOnaqyVc8,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,57,0,"""Ăn dặm kiểu Nhật"" thế nào cho đúng?",You're watching,"""Ăn dặm kiểu Nhật"" đang được nhiều bà mẹ áp dụng trong việc chăm sóc con.","""Ăn dặm kiểu Nhật"" đang được nhiều bà mẹ áp dụng trong việc chăm sóc con. Vậy, phương pháp này nên được áp dụng như thế nào để đạt được hiệu quả tốt nhất?",,hqdefault,youtube,9p5Ds_0Dmys,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,58,0,Ưu điểm của phương pháp giáo dục con kiểu Nhật,You're watching,Phương pháp giáo dục con theo kiểu Nhật đang được rất nhiều bậc phụ huynh quan tâm tìm hiểu và áp dụng,Phương pháp giáo dục con theo kiểu Nhật đang được rất nhiều bậc phụ huynh quan tâm tìm hiểu và áp dụng. Vậy phương pháp này có những điểm ưu việt gì?,,hqdefault,youtube,m_8PuCJxMo4,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,59,0,"Trẻ em tuổi học đường, ăn gì giúp học tốt?",You're watching,"Trẻ em độ tuổi học đường nên ăn gì, ăn như thế nào để có thể giúp trẻ phát triển thể chất và trí tuệ hoàn hảo?","Trẻ em độ tuổi học đường nên ăn gì, ăn như thế nào để có thể giúp trẻ phát triển thể chất và trí tuệ hoàn hảo?",,hqdefault,youtube,AhA4wMFafRk,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,60,0,"""Hoảng"" với di chứng của viêm não Nhật Bản",You're watching,"Viêm não Nhật Bản là một bệnh nguy hiểm cho trẻ em từ 2-6 tuổi, tỉ lệ tử vong và di chứng rất cao. ","Viêm não Nhật Bản là một bệnh nguy hiểm cho trẻ em từ 2-6 tuổi, tỉ lệ tử vong và di chứng rất cao. Sẽ rất nguy hiểm nếu căn bệnh này không được chữa trị kịp thời.",,hqdefault,youtube,1vfCdVEn_Rk,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,61,0,Viêm não Nhật Bản: Sự nhẫm lẫn nguy hiểm,You're watching,"Khi cha mẹ chủ quan, nhầm lẫn bệnh viêm não Nhật Bản với các bệnh thông thường, con cái sẽ phải chịu các di chứng nặng của bệnh","Khi cha mẹ chủ quan, nhầm lẫn bệnh viêm não Nhật Bản với các bệnh thông thường, con cái sẽ phải chịu các di chứng nặng của bệnh",,hqdefault,youtube,Brmt05su4kI,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,62,0,7 Dấu hiệu trầm cảm sau sinh cần khám ngay trước khi quá muộn,You're watching,"7 dấu hiệu trầm cảm sau sinh mà các mẹ cần lưu ý và nên đi khám bác sĩ để được tư vấn và điều trị sớm. Các mẹ bầu mang thai lần đầu rất dễ rơi vào trầm cảm do lần đầu mang thai, sinh con người phụ nữ phải thay đổi rất nhiều về thể chất và tinh thần. Chưa có kinh nghiệm chăm sóc trẻ khiến mẹ dễ rơi vào trạng thái bất lực, trầm cảm. Trầm cảm sau sinh nếu không được điều trị sớm sẽ có thể dẫn đến những hậu quả vô cùng nghiêm trọng. Hãy tham khảo những biểu hiện của bệnh trầm cảm nhé.",7 dấu hiệu trầm cảm sau sinh mà các mẹ cần lưu ý và nên đi khám bác sĩ để được tư vấn và điều trị sớm. ,,hqdefault,youtube,A-wn9ekHOj8,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,63,0,Bài tập thể dục tốt nhất cho phụ nữ sau khi sinh,You're watching,"Theo quan niệm dân gian ngày xưa, các bà mẹ nên tránh vận động, tránh đi lại trong thời gian 6 tháng sau sinh. ","Theo quan niệm dân gian ngày xưa, các bà mẹ nên tránh vận động, tránh đi lại trong thời gian 6 tháng sau sinh. Tuy nhiên việc kiêng cữ vận động như vậy là không đúng, việc tập thể dục sau sinh sẽ giúp vóc dáng các mẹ thon thả, sức khỏe cũng nhanh chóng hồi phục. Việc tập thể dụng sau sinh cũng giúp lưu thông máu huyết và hạn chế các biến chứng như viêm tắc ruột, bí tiểu, viêm tĩnh mạch chi dưới. Tuy nhiên, tập thể dục sau sinh như thế nào là đúng cách?",,hqdefault,youtube,8XQSTzcCiO4,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,64,0,Bà bầu cần biết về phương pháp da tiếp da (da kề da) sau sinh,You're watching,Việc tìm hiểu và chuẩn bị tinh thần trước cuộc vượt cạn là vô cùng quan trọng. ,Việc tìm hiểu và chuẩn bị tinh thần trước cuộc vượt cạn là vô cùng quan trọng. Các mẹ bầu hãy cùng tìm hiểu những lợi ích của phương pháp da kề da (da tiếp da) ngay trong 1 giờ đầu sau khi sinh và những phản ứng của trẻ sơ sinh mới sinh và việc mẹ nên làm sau khi bé chào đời nhé.,,hqdefault,youtube,vLimHaF1zPU,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
