status,id,paid,title,subTitle,desc,text,tileUrl,tileUrlExpanded,src_type,src_play,progressBar,extraMeta,reviews,meta,extraReviews,trailer,series,player
1,37,0,4 Tư thế cho con bú khoa học nhất,You're watching,Hướng dẫn cách các mẹ cho con bú một cách khoa học nhất.,Hướng dẫn cách các mẹ cho con bú một cách khoa học nhất.,,hqdefault,youtube,W5KmlscnlgA,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,38,0,Hướng dẫn cách tắm cho bé sơ sinh,You're watching,Một hướng dẫn về cách tắm bé sơ sinh từ bệnh viện Vinmec.,Một hướng dẫn về cách tắm bé sơ sinh từ bệnh viện Vinmec.,,hqdefault,youtube,S6SDSH7AKGM,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,39,0,Hướng dẫn cách mặc áo cho trẻ sơ sinh,You're watching,Video hướng dẫn cách mặc áo cho trẻ sơ sinh được hướng dẫn bởi chuyên viên y tế của bệnh viện đa khoa Vinmec.,Video hướng dẫn cách mặc áo cho trẻ sơ sinh được hướng dẫn bởi chuyên viên y tế của bệnh viện đa khoa Vinmec.,,hqdefault,youtube,Z4AirtKyVOE,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,40,0,Hướng dẫn cách cuốn ổ cho trẻ sơ sinh,You're watching,Sau đây là hướng dẫn cách cuốn ổ cho trẻ sơ sinh được hướng dẫn bởi chuyên gia y tế của bệnh viện đa khoa Vinmec.,Sau đây là hướng dẫn cách cuốn ổ cho trẻ sơ sinh được hướng dẫn bởi chuyên gia y tế của bệnh viện đa khoa Vinmec.,,hqdefault,youtube,xOFhgT_m38g,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,41,0,Hướng dẫn cách hạ sốt cho trẻ,You're watching,Làm thế nào để hạ sốt cho trẻ một cách nhanh chóng và an toàn?,Làm thế nào để hạ sốt cho trẻ một cách nhanh chóng và an toàn?,,hqdefault,youtube,WZReoH-SmXw,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,42,0,HƯỚNG DẪN CÁCH PHÒNG NGỪA NÔN TRỚ Ở TRẺ,You're watching,Hướng dẫn các mẹ các cách phòng ngừa nôn trớ ở trẻ.,Hướng dẫn các mẹ các cách phòng ngừa nôn trớ ở trẻ.,,hqdefault,youtube,rpuyjNkXTEw,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,43,0,"Hướng dẫn xoa bóp, massage cho bé",You're watching,"Xoa bóp, massage cho bé giúp cho bé phát triển tốt về thể chất","Xoa bóp, massage cho bé giúp cho bé phát triển tốt về thể chất",,hqdefault,youtube,8hULEfEAAg4,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,44,0,Em bé thư giãn khi tắm siêu dễ thương,You're watching,"Trẻ con thường khóc hoặc quẫy đạp khi tắm, hiếm em bé nào lại ung dung hưởng thụ như em bé dưới đây...","Trẻ con thường khóc hoặc quẫy đạp khi tắm, hiếm em bé nào lại ung dung hưởng thụ như em bé dưới đây...",,hqdefault,youtube,8HGEPYtUsSo,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,45,0,Cách giúp trẻ khoẻ mạnh khi trời lạnh,You're watching,Thời tiết lạnh khiến trẻ em dễ mắc các bệnh đường hô hấp. ,Thời tiết lạnh khiến trẻ em dễ mắc các bệnh đường hô hấp. Làm sao để giữ cho con em mình mạnh khoẻ khi trời lạnh? Hãy theo dõi hướng dẫn của chuyên gia!,,hqdefault,youtube,-Ofez-gFhJk,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,46,0,Nhận biết và điều trị viêm phổi ở trẻ em,You're watching,Biểu hiện của bệnh viêm phổi ở trẻ nhỏ đặc biệt là ở trẻ sơ sinh ra sao? Đâu là hướng điều trị và cách phòng tránh?,Biểu hiện của bệnh viêm phổi ở trẻ nhỏ đặc biệt là ở trẻ sơ sinh ra sao? Đâu là hướng điều trị và cách phòng tránh?,,hqdefault,youtube,p7ySJC5xOfM,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer""></li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
