status,id,paid,title,subTitle,desc,text,tileUrl,tileUrlExpanded,src_type,src_play,progressBar,extraMeta,reviews,meta,extraReviews,trailer,series,player
1,25,0,Bánh Khoai Tây Chiên KOROKKE Nhật Bản,You're watching,Làm Bánh Khoai Tây Chiên KOROKKE Nhật Bản cực thơm ngon,"Cách làm Bánh Khoai Tây Chiên KOROKKE Nhật Bản cực thơm ngon, các fan ẩm thực Nhật Bản đâu hết rồi ?.... Các bạn mê manga, anime chắc sẽ rất thích thú khi thưởng thức được chiếc bánh nổi tiếng này nhé ^^",,hqdefault,youtube ,qUAX650-CdI,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Source: Bếp Gia Đình</li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,26,0,THẠCH RAU CÂU TRỨNG LUỘC,You're watching,Cách làm THẠCH RAU CÂU TRỨNG LUỘC độc đáo cực ngon,"Cách làm THẠCH RAU CÂU TRỨNG LUỘC độc đáo lạ mắt, đẹp và dễ làm, lại rất là ngon nữa đó các bạn ơi. Các bạn xem có phân biệt được trứng thạch và trứng thiệt không nhé",,hqdefault,youtube ,jfPdbHfK8GE,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Source: Bếp Gia Đình</li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,27,0,THẠCH RAU CÂU SỢI MÌ,You're watching,Cách làm THẠCH RAU CÂU SỢI MÌ siêu độc đáo,"Cách làm THẠCH RAU CÂU SỢI MÌ vô cùng độc đáo và hấp dẫn. Làm gì khi vừa thèm rau câu mà cũng đang thèm mì, đã có thạch rau câu sợi mì rồi đây. kakak, món này các bạn nhỏ sẽ vô cùng thích thú cho mà xem !",,hqdefault,youtube ,G4_rF-op_t8,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Source: Bếp Gia Đình</li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,28,0,TRÀ SỮA THẠCH ĂN LUÔN LY,You're watching,Cách làm TRÀ SỮA THẠCH ĂN LUÔN LY độc lạ thú vị,"Cách làm TRÀ SỮA THẠCH ĂN LUÔN LY độc lạ thú vị, rất là thơm ngon và hấp dẫn nà các bạn ơi!",,hqdefault,youtube ,lEhI7KmjUn8,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Source: Bếp Gia Đình</li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,29,0,THẠCH RAU CÂU SƠN THỦY,You're watching,Cách làm THẠCH RAU CÂU SƠN THỦY hãy vẽ theo cách của bạn,"Cách làm THẠCH RAU CÂU SƠN THỦY vừa thơm ngon vừa đẹp theo cách của bạn, hãy tự vẽ bức tranh cho riêng mình các bạn nhé !",,hqdefault,youtube ,XcgsCvo5wPY,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Source: Bếp Gia Đình</li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,30,0,THẠCH RAU CÂU SỮA BẮP,You're watching,Cách làm THẠCH RAU CÂU SỮA BẮP ngon tuyệt,"Cách làm THẠCH RAU CÂU SỮA BẮP, thạch ngô rất là đơn giản, vừa béo, vừa mịn, vừa dẻo vừa giòn lại vừa thơm ngon, thật là tuyệt vời.",,hqdefault,youtube ,sYKHJ9DUfFA,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Source: Bếp Gia Đình</li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,31,0,THẠCH BI NHÂN PHÔ MAI,You're watching,Cách làm THẠCH BI NHÂN PHÔ MAI uống trà sữa cực đã,"Cách làm THẠCH BI NHÂN PHÔ MAI siêu ngon, bỏ vào trà sữa thì chuẩn vô cùng luôn các bạn ơi, rất là hợp luôn, dễ dàm, cực ngon, quá đã !!",,hqdefault,youtube ,ob7UDSa8Tfs,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Source: Bếp Gia Đình</li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,32,0,THẠCH RAU CÂU DỪA LÁ DỨA,You're watching,Cách làm THẠCH RAU CÂU DỪA LÁ DỨA trong trái dừa,"Cách làm THẠCH RAU CÂU DỪA LÁ DỨA thơm lừng, béo dẻo vị nước cốt, ngọt thanh nước dừa tươi, rất là thích luôn các bạn ơi!",,hqdefault,youtube ,ZtpvZ7fyatE,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Source: Bếp Gia Đình</li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,33,0,THẠCH TRÁI CÂY THÁI LAN,You're watching,Cách làm THẠCH TRÁI CÂY THÁI LAN độc lạ ngon rất dễ,"Cách làm THẠCH TRÁI CÂY THÁI LAN, thạch rau câu trái cây cầu vồng siêu ngon, dễ làm, độc lạ rất là hấp dẫn, dễ làm mà ăn là mê luôn các bạn ơi!",,hqdefault,youtube ,nFajFZQn5N4,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Source: Bếp Gia Đình</li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,34,0,BÁNH TRUNG THU STING Phô Mai,You're watching,Cách làm BÁNH TRUNG THU STING Phô Mai ngon tuyệt,"Cách làm bánh trung thu rau câu sting phô mai rất là đơn giản, dễ thực hiện lắm các bạn ơi, mùi vị thì ngon tuyệt vời, không thể nào bỏ qua món này trong mùa trung thu nha các bạn !",,hqdefault,youtube ,eYBA9WO5VKM,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Source: Bếp Gia Đình</li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,35,0,THẠCH MILO CUBE,You're watching,Cách làm THẠCH MILO CUBE uống trà sữa ngon tuyệt,"Cách làm thạch milo CUBE cực kỳ đơn giản, cho vào trà sữa, sữa béo ăn cùng là hết sẩy luôn các bạn ơi!",,hqdefault,youtube ,tE_p7Rn1ws4,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Source: Bếp Gia Đình</li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,36,0,TRÀ SỮA BAY,You're watching,Cách làm TRÀ SỮA BAY độc đáo thật đơn giản,"Cách làm trà sữa bay vô cùng đơn giản mà lại thơm ngon độc đáo, quá xá hấp dẫn luôn đó nha các bạn!",,hqdefault,youtube ,sdGvi5C3xtw,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Source: Bếp Gia Đình</li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
1,37,0,TÔM CUỘN MÌ TÔM,You're watching,Cách làm TÔM CUỘN MÌ TÔM độc lạ siêu đơn giản,"Khi mì gói ăn liền kết hợp với tôm tươi. Cách làm TÔM CUỘN MÌ TÔM siêu đơn giản, ăn vặt cực đã. Vừa ngon vừa dễ làm nữa thích quá đi các bạn ơi !",,hqdefault,youtube ,Tj9u_9IbG7Q,0,<h5></h5>,,"<ul class=""hidden-xs"">
<li class=""synopis-meta-spacer"">Source: Bếp Gia Đình</li>
</ul>","<div class=""synopis-premium-meta hidden-xs""> 

</div>",,,
